Abakan|Абака́н|{"type":"MultiPolygon","coordinates":[[[[91.45278930664067,53.70172119140624],[91.44386291503916,53.69742965698241],[91.42509460449224,53.6989135742188],[91.43031311035167,53.71451568603515],[91.43953704833984,53.71738052368175],[91.4507827758789,53.71098709106445],[91.45278930664067,53.70172119140624]]]]}
Abdulino|Абду́лино|{"type":"MultiPolygon","coordinates":[[[[53.64326095581054,53.64121627807622],[53.64043807983404,53.63984680175792],[53.63545989990245,53.64115142822276],[53.62926864624034,53.64559173583979],[53.62684249877929,53.65185546875011],[53.62889099121099,53.65377807617198],[53.63702774047856,53.65586471557617],[53.64294815063482,53.65501403808599],[53.64886856079107,53.65415954589854],[53.65367889404302,53.65184402465819],[53.65489196777355,53.64871215820312],[53.65250778198253,53.6447639465332],[53.6485710144043,53.64192962646495],[53.64326095581054,53.64121627807622]]]]}
Akhtubinsk|Ахту́бинск|{"type":"MultiPolygon","coordinates":[[[[46.16830062866222,48.25455856323253],[46.16223526000976,48.25450134277343],[46.15763854980474,48.25649261474614],[46.15306854248052,48.25746536254882],[46.1507339477539,48.25998306274419],[46.15216445922851,48.26406860351562],[46.15287017822271,48.26661682128912],[46.16265487670898,48.27026748657226],[46.17411422729498,48.26681900024413],[46.17721176147466,48.26379776000981],[46.17731857299804,48.25871276855468],[46.17435073852544,48.25563430786138],[46.16830062866222,48.25455856323253]]]]}
Al'met'evsk|Альметьевск|{"type":"MultiPolygon","coordinates":[[[[52.31834793090831,54.88478088378917],[52.29830551147472,54.88158035278326],[52.27619552612315,54.89629745483409],[52.30620193481445,54.90721130371099],[52.3239402770996,54.89981460571288],[52.31834793090831,54.88478088378917]]]]}
Alapaevsk gorsovet|Алапаевск (горсовет)|{"type":"MultiPolygon","coordinates":[[[[61.51431274414074,57.68950271606445],[61.49534606933594,57.6861953735352],[61.47591781616204,57.686191558838],[61.45599365234369,57.69116210937506],[61.44100570678721,57.69831848144525],[61.43364334106445,57.70608901977539],[61.43184661865239,57.71414184570323],[61.43142318725591,57.72170257568364],[61.4276962280274,57.72850799560546],[61.42112350463873,57.73763656616216],[61.40972137451177,57.74373245239263],[61.39592742919921,57.74646759033208],[61.38205337524425,57.74581146240228],[61.35845184326177,57.7391929626466],[61.3670539855957,57.75916671752935],[61.35255813598632,57.79003524780273],[61.3025245666505,57.82277297973626],[61.25527954101568,57.8323364257813],[61.20751953124999,57.84018325805663],[61.16017532348638,57.86417388916021],[61.14247512817394,57.89237213134765],[61.13623428344721,57.92448806762695],[61.15336990356456,57.93561172485357],[61.17743301391596,57.9539299011231],[61.20290374755859,57.96467971801751],[61.23466110229491,57.97349166870117],[61.27059173583978,57.97565078735357],[61.31338119506847,57.98013687133783],[61.34050750732427,57.95085525512701],[61.42466735839855,57.9620819091798],[61.42657470703136,57.99030685424805],[61.54802703857427,57.99488830566417],[61.58361053466796,57.95141601562511],[61.64596176147466,57.94668960571295],[61.70697402954101,57.94999313354486],[61.75053405761718,57.94745254516607],[61.82569122314452,57.90436553955077],[61.86524581909179,57.87075424194341],[61.85778808593755,57.84281539916986],[61.87629699707036,57.8064422607423],[61.80307769775401,57.7863388061524],[61.73004913330089,57.76622772216791],[61.63534164428722,57.7302589416505],[61.60518264770513,57.73462677001953],[61.58354949951183,57.74690628051757],[61.55610275268554,57.76325225830083],[61.52719116210937,57.75354003906255],[61.51138305664067,57.73966217041026],[61.50710296630853,57.71532821655279],[61.51431274414074,57.68950271606445]]]]}
Alatyr'|Алаты́рь|{"type":"MultiPolygon","coordinates":[[[[46.62955093383788,54.85482406616211],[46.62249374389648,54.85073089599614],[46.61270141601567,54.85221099853515],[46.6143302917481,54.86339187622069],[46.63037109374994,54.86041641235357],[46.62955093383788,54.85482406616211]]]]}
Aleksandrovsk gorsovet|Александровск (горсовет)|{"type":"MultiPolygon","coordinates":[[[[58.66388702392578,59.38526916503912],[58.55862045288096,59.33069992065441],[58.50507354736333,59.26702117919927],[58.43368911743175,59.26819229125976],[58.33995056152337,59.27913665771479],[58.23112487792974,59.27568817138682],[58.12112426757818,59.22895050048839],[58.12812423706065,59.14963531494135],[58.0056991577149,59.14982223510747],[57.93434143066411,59.1819190979005],[57.87791442871099,59.19710540771495],[57.79093933105474,59.19671249389648],[57.76130676269531,59.16056060791015],[57.64567947387701,59.15700149536132],[57.63897323608398,59.11526870727539],[57.54322052001964,59.10583114624034],[57.50775909423839,59.05685424804692],[57.42372512817394,59.04818725585937],[57.3410034179688,59.02640533447259],[57.26102447509765,58.99657821655273],[57.23781967163086,58.96992874145507],[57.20479965209955,58.94403457641606],[57.17633819580077,58.93335342407231],[57.11552047729503,58.93303298950206],[57.06938552856439,58.96183395385753],[57.05983734130865,59.00234603881836],[57.09749984741216,59.03986740112299],[57.10455322265636,59.06461715698253],[57.07408905029296,59.0855216979981],[57.00950241088866,59.07372283935541],[57.01978683471674,59.10921859741216],[57.05982971191412,59.12422180175792],[57.11284637451177,59.14853286743175],[57.15291213989251,59.16348266601568],[57.18307876586914,59.17924880981456],[57.1407089233399,59.20857238769525],[57.15667724609375,59.22804260253906],[57.2271614074707,59.25872039794915],[57.20774841308587,59.29658508300787],[57.15778350830072,59.30058288574224],[57.12517547607416,59.32908630371104],[57.20768356323242,59.38217163085937],[57.28464889526373,59.4330558776856],[57.31301879882823,59.49301528930675],[57.37847137451166,59.52143859863281],[57.41210937500005,59.54724502563476],[57.41292190551757,59.58346557617193],[57.45408248901361,59.61643981933599],[57.6814842224121,59.63143920898437],[57.73641967773448,59.72287368774408],[57.68475723266601,59.74013519287103],[57.72318649292003,59.81215667724614],[57.77359008789067,59.83909225463866],[57.86465072631841,59.86261749267578],[57.91289138793951,59.86632156372064],[57.96842575073247,59.85923385620128],[58.03320693969726,59.85092926025401],[58.0686149597169,59.8634872436524],[58.43679809570323,59.85494613647466],[58.49719619750987,59.89375305175781],[58.58786010742198,59.89869308471691],[58.66911315917979,59.89144134521484],[58.71211242675781,59.87978363037109],[58.77598571777338,59.85326766967778],[58.72187805175781,59.80356979370111],[58.70704269409179,59.77634429931652],[58.63061904907231,59.73645019531256],[58.5678100585938,59.63036346435552],[58.52760696411133,59.55861282348644],[58.48919677734381,59.49189758300787],[58.50651931762707,59.4669647216798],[58.60136795043939,59.44285964965831],[58.66388702392578,59.38526916503912]]]]}
Alekseevka|Алексеевка|{"type":"MultiPolygon","coordinates":[[[[38.68472290039073,50.61946868896489],[38.68333435058599,50.61832809448253],[38.68243789672857,50.61877059936523],[38.68174743652343,50.61820220947277],[38.6810531616212,50.61763381958007],[38.68035888671875,50.61706542968761],[38.67787933349609,50.61737823486334],[38.67609024047851,50.61825942993169],[38.67071914672846,50.6208992004395],[38.66852569580072,50.62379837036138],[38.67297744750987,50.62979125976568],[38.67753982543956,50.63118362426758],[38.68747329711925,50.62993621826171],[38.68937301635753,50.6244506835938],[38.68472290039073,50.61946868896489]]]]}
Aleksin|Але́ксин|{"type":"MultiPolygon","coordinates":[[[[37.11379623413086,54.45945358276373],[37.10398864746093,54.45783615112299],[37.10116577148443,54.46529388427739],[37.11560440063487,54.4644889831544],[37.11379623413086,54.45945358276373]]]]}
Aleysk|Але́йск)|{"type":"MultiPolygon","coordinates":[[[[82.81357574462891,52.53601074218755],[82.81211090087897,52.53181838989258],[82.81175994873057,52.53263092041026],[82.8097076416015,52.53453063964855],[82.81211853027349,52.53702163696294],[82.81357574462891,52.53601074218755]]]]}
